"Plot Title: MRSC_dryout"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 9695471, SEN S/N: 9695471)","Sensor Depth, feet (LGR S/N: 9695471)"
1,06/27/18 12:18:00 PM,76.006,1.731
2,06/27/18 12:20:00 PM,73.234,1.826
3,06/27/18 12:22:00 PM,72.372,1.841
4,06/27/18 12:24:00 PM,72.028,1.843
5,06/27/18 12:26:00 PM,71.856,1.841
6,06/27/18 12:28:00 PM,71.856,1.843
7,06/27/18 12:30:00 PM,71.856,1.842
8,06/27/18 12:32:00 PM,71.683,1.848
9,06/27/18 12:34:00 PM,71.683,1.847
10,06/27/18 12:36:00 PM,71.683,1.844
11,06/27/18 12:38:00 PM,71.683,1.847
12,06/27/18 12:40:00 PM,71.683,1.846
13,06/27/18 12:42:00 PM,71.683,1.848
14,06/27/18 12:44:00 PM,71.683,1.847
15,06/27/18 12:46:00 PM,71.683,1.839
16,06/27/18 12:48:00 PM,71.683,1.842
17,06/27/18 12:50:00 PM,71.683,1.846
18,06/27/18 12:52:00 PM,71.683,1.849
19,06/27/18 12:54:00 PM,71.683,1.843
20,06/27/18 12:56:00 PM,71.683,1.841
21,06/27/18 12:58:00 PM,71.683,1.835
22,06/27/18 01:00:00 PM,71.683,1.838
23,06/27/18 01:02:00 PM,71.683,1.847
24,06/27/18 01:04:00 PM,71.683,1.840
25,06/27/18 01:06:00 PM,71.683,1.844
26,06/27/18 01:08:00 PM,71.683,1.837
27,06/27/18 01:10:00 PM,71.683,1.839
28,06/27/18 01:12:00 PM,71.683,1.843
29,06/27/18 01:14:00 PM,71.683,1.836
30,06/27/18 01:16:00 PM,71.683,1.836
31,06/27/18 01:18:00 PM,71.683,1.840
32,06/27/18 01:20:00 PM,71.683,1.833
33,06/27/18 01:22:00 PM,71.683,1.843
34,06/27/18 01:24:00 PM,71.683,1.843
35,06/27/18 01:26:00 PM,71.683,1.843
36,06/27/18 01:28:00 PM,71.683,1.842
37,06/27/18 01:30:00 PM,71.683,1.837
38,06/27/18 01:32:00 PM,71.683,1.837
39,06/27/18 01:34:00 PM,71.683,1.837
40,06/27/18 01:36:00 PM,71.683,1.837
41,06/27/18 01:38:00 PM,71.683,1.837
42,06/27/18 01:40:00 PM,71.683,1.837
43,06/27/18 01:42:00 PM,71.683,1.840
44,06/27/18 01:44:00 PM,71.683,1.840
45,06/27/18 01:46:00 PM,71.683,1.835
46,06/27/18 01:48:00 PM,71.683,1.847
47,06/27/18 01:50:00 PM,71.683,1.842
48,06/27/18 01:52:00 PM,71.683,1.837
49,06/27/18 01:54:00 PM,71.683,1.837
50,06/27/18 01:56:00 PM,71.683,1.834
51,06/27/18 01:58:00 PM,71.683,1.834
52,06/27/18 02:00:00 PM,71.683,1.839
53,06/27/18 02:02:00 PM,71.683,1.844
54,06/27/18 02:04:00 PM,71.683,1.839
55,06/27/18 02:06:00 PM,71.683,1.833
56,06/27/18 02:08:00 PM,71.683,1.838
57,06/27/18 02:10:00 PM,71.683,1.837
58,06/27/18 02:12:00 PM,71.683,1.842
59,06/27/18 02:14:00 PM,71.683,1.839
60,06/27/18 02:16:00 PM,71.683,1.842
61,06/27/18 02:18:00 PM,71.683,1.841
62,06/27/18 02:20:00 PM,71.683,1.834
63,06/27/18 02:22:00 PM,71.856,1.844
64,06/27/18 02:24:00 PM,71.856,1.842
65,06/27/18 02:26:00 PM,71.683,1.840
66,06/27/18 02:28:00 PM,71.856,1.834
67,06/27/18 02:30:00 PM,71.856,1.838
68,06/27/18 02:32:00 PM,71.856,1.826
69,06/27/18 02:34:00 PM,71.856,1.841
70,06/27/18 02:36:00 PM,71.856,1.834
71,06/27/18 02:38:00 PM,71.856,1.833
72,06/27/18 02:40:00 PM,71.856,1.836
73,06/27/18 02:42:00 PM,71.856,1.828
74,06/27/18 02:44:00 PM,71.856,1.837
75,06/27/18 02:46:00 PM,71.856,1.834
76,06/27/18 02:48:00 PM,71.856,1.837
77,06/27/18 02:50:00 PM,71.856,1.832
78,06/27/18 02:52:00 PM,71.856,1.834
79,06/27/18 02:54:00 PM,71.856,1.836
80,06/27/18 02:56:00 PM,71.856,1.833
81,06/27/18 02:58:00 PM,71.856,1.835
82,06/27/18 03:00:00 PM,71.856,1.827
83,06/27/18 03:02:00 PM,71.856,1.829
84,06/27/18 03:04:00 PM,71.856,1.832
85,06/27/18 03:06:00 PM,71.856,1.836
86,06/27/18 03:08:00 PM,71.856,1.834
87,06/27/18 03:10:00 PM,71.856,1.832
88,06/27/18 03:12:00 PM,71.856,1.837
89,06/27/18 03:14:00 PM,71.856,1.832
90,06/27/18 03:16:00 PM,71.856,1.832
91,06/27/18 03:18:00 PM,71.856,1.837
92,06/27/18 03:20:00 PM,71.856,1.829
93,06/27/18 03:22:00 PM,71.856,1.834
94,06/27/18 03:24:00 PM,71.856,1.825
95,06/27/18 03:26:00 PM,71.856,1.837
96,06/27/18 03:28:00 PM,71.856,1.824
97,06/27/18 03:30:00 PM,71.856,1.830
98,06/27/18 03:32:00 PM,71.856,1.827
99,06/27/18 03:34:00 PM,71.856,1.823
100,06/27/18 03:36:00 PM,71.856,1.830
101,06/27/18 03:38:00 PM,71.856,1.827
102,06/27/18 03:40:00 PM,71.856,1.828
103,06/27/18 03:42:00 PM,71.856,1.830
104,06/27/18 03:44:00 PM,71.856,1.831
105,06/27/18 03:46:00 PM,71.856,1.833
106,06/27/18 03:48:00 PM,71.856,1.829
107,06/27/18 03:50:00 PM,71.856,1.826
108,06/27/18 03:52:00 PM,71.856,1.827
109,06/27/18 03:54:00 PM,71.856,1.834
110,06/27/18 03:56:00 PM,71.856,1.834
111,06/27/18 03:58:00 PM,71.856,1.834
112,06/27/18 04:00:00 PM,71.856,1.833
113,06/27/18 04:02:00 PM,71.856,1.836
114,06/27/18 04:04:00 PM,71.856,1.830
115,06/27/18 04:06:00 PM,71.856,1.838
116,06/27/18 04:08:00 PM,71.856,1.831
117,06/27/18 04:10:00 PM,71.856,1.831
118,06/27/18 04:12:00 PM,71.856,1.830
119,06/27/18 04:14:00 PM,71.856,1.833
120,06/27/18 04:16:00 PM,71.856,1.828
121,06/27/18 04:18:00 PM,71.856,1.823
122,06/27/18 04:20:00 PM,71.856,1.823
123,06/27/18 04:22:00 PM,71.856,1.823
124,06/27/18 04:24:00 PM,71.856,1.823
125,06/27/18 04:26:00 PM,71.856,1.835
126,06/27/18 04:28:00 PM,71.856,1.835
127,06/27/18 04:30:00 PM,71.856,1.830
128,06/27/18 04:32:00 PM,71.856,1.830
129,06/27/18 04:34:00 PM,71.856,1.831
130,06/27/18 04:36:00 PM,71.856,1.826
131,06/27/18 04:38:00 PM,71.856,1.837
132,06/27/18 04:40:00 PM,71.856,1.830
133,06/27/18 04:42:00 PM,71.856,1.828
134,06/27/18 04:44:00 PM,71.856,1.822
135,06/27/18 04:46:00 PM,71.856,1.820
136,06/27/18 04:48:00 PM,71.856,1.824
137,06/27/18 04:50:00 PM,71.856,1.824
138,06/27/18 04:52:00 PM,71.856,1.827
139,06/27/18 04:54:00 PM,71.856,1.827
140,06/27/18 04:56:00 PM,71.856,1.817
141,06/27/18 04:58:00 PM,71.856,1.817
142,06/27/18 05:00:00 PM,71.856,1.822
143,06/27/18 05:02:00 PM,71.856,1.820
144,06/27/18 05:04:00 PM,71.856,1.825
145,06/27/18 05:06:00 PM,71.856,1.819
146,06/27/18 05:08:00 PM,71.856,1.817
147,06/27/18 05:10:00 PM,71.856,1.821
148,06/27/18 05:12:00 PM,71.856,1.816
149,06/27/18 05:14:00 PM,71.856,1.819
150,06/27/18 05:16:00 PM,71.856,1.814
151,06/27/18 05:18:00 PM,71.856,1.817
152,06/27/18 05:20:00 PM,71.856,1.817
153,06/27/18 05:22:00 PM,71.856,1.826
154,06/27/18 05:24:00 PM,71.856,1.816
155,06/27/18 05:26:00 PM,71.856,1.819
156,06/27/18 05:28:00 PM,71.856,1.819
157,06/27/18 05:30:00 PM,71.856,1.818
158,06/27/18 05:32:00 PM,71.856,1.813
159,06/27/18 05:34:00 PM,71.856,1.821
160,06/27/18 05:36:00 PM,71.856,1.820
161,06/27/18 05:38:00 PM,71.856,1.820
162,06/27/18 05:40:00 PM,71.856,1.818
163,06/27/18 05:42:00 PM,71.856,1.818
164,06/27/18 05:44:00 PM,71.856,1.823
165,06/27/18 05:46:00 PM,71.856,1.818
166,06/27/18 05:48:00 PM,71.856,1.816
167,06/27/18 05:50:00 PM,71.856,1.816
168,06/27/18 05:52:00 PM,71.856,1.816
