"Plot Title: RSC_INLET"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10445237, SEN S/N: 10445237)","Sensor Depth, feet (LGR S/N: 10445237)"
1,06/06/17 05:00:00 PM,77.225,0.000
2,06/06/17 05:02:00 PM,77.225,0.000
3,06/06/17 05:04:00 PM,77.050,0.000
4,06/06/17 05:06:00 PM,77.050,0.000
5,06/06/17 05:08:00 PM,76.876,0.000
6,06/06/17 05:10:00 PM,76.703,0.000
7,06/06/17 05:12:00 PM,76.528,0.000
8,06/06/17 05:14:00 PM,76.354,0.000
9,06/06/17 05:16:00 PM,76.181,0.000
10,06/06/17 05:18:00 PM,76.181,0.000
11,06/06/17 05:20:00 PM,76.006,0.000
12,06/06/17 05:22:00 PM,76.006,0.000
13,06/06/17 05:24:00 PM,75.832,0.000
14,06/06/17 05:26:00 PM,75.832,0.000
15,06/06/17 05:28:00 PM,75.659,0.000
16,06/06/17 05:30:00 PM,75.659,0.000
17,06/06/17 05:32:00 PM,75.659,0.000
18,06/06/17 05:34:00 PM,75.484,0.000
19,06/06/17 05:36:00 PM,75.484,0.000
20,06/06/17 05:38:00 PM,75.312,0.000
21,06/06/17 05:40:00 PM,75.312,0.000
22,06/06/17 05:42:00 PM,75.139,0.000
23,06/06/17 05:44:00 PM,75.139,0.000
24,06/06/17 05:46:00 PM,75.139,0.000
25,06/06/17 05:48:00 PM,74.964,0.000
26,06/06/17 05:50:00 PM,74.791,0.000
27,06/06/17 05:52:00 PM,74.791,0.000
28,06/06/17 05:54:00 PM,74.619,0.000
29,06/06/17 05:56:00 PM,74.619,0.000
30,06/06/17 05:58:00 PM,74.446,0.000
31,06/06/17 06:00:00 PM,74.446,0.000
32,06/06/17 06:02:00 PM,74.271,0.000
33,06/06/17 06:04:00 PM,74.271,0.000
34,06/06/17 06:06:00 PM,74.271,0.000
35,06/06/17 06:08:00 PM,74.098,0.000
36,06/06/17 06:10:00 PM,74.098,0.000
37,06/06/17 06:12:00 PM,73.926,0.000
38,06/06/17 06:14:00 PM,73.926,0.000
39,06/06/17 06:16:00 PM,73.926,0.000
40,06/06/17 06:18:00 PM,73.753,0.000
41,06/06/17 06:20:00 PM,73.753,0.000
42,06/06/17 06:22:00 PM,73.753,0.000
43,06/06/17 06:24:00 PM,73.753,0.000
44,06/06/17 06:26:00 PM,73.580,0.000
45,06/06/17 06:28:00 PM,73.580,0.000
46,06/06/17 06:30:00 PM,73.580,0.000
47,06/06/17 06:32:00 PM,73.580,0.000
48,06/06/17 06:34:00 PM,73.407,0.000
49,06/06/17 06:36:00 PM,73.407,0.000
50,06/06/17 06:38:00 PM,73.407,0.000
51,06/06/17 06:40:00 PM,73.407,0.000
52,06/06/17 06:42:00 PM,73.407,0.000
53,06/06/17 06:44:00 PM,73.407,0.000
54,06/06/17 06:46:00 PM,73.234,0.000
55,06/06/17 06:48:00 PM,73.234,0.000
56,06/06/17 06:50:00 PM,73.234,0.000
57,06/06/17 06:52:00 PM,73.234,0.000
58,06/06/17 06:54:00 PM,73.234,0.000
59,06/06/17 06:56:00 PM,73.234,0.000
60,06/06/17 06:58:00 PM,73.062,0.000
61,06/06/17 07:00:00 PM,73.062,0.000
62,06/06/17 07:02:00 PM,73.062,0.000
63,06/06/17 07:04:00 PM,73.062,0.000
64,06/06/17 07:06:00 PM,73.062,0.000
65,06/06/17 07:08:00 PM,73.062,0.000
66,06/06/17 07:10:00 PM,73.062,0.000
67,06/06/17 07:12:00 PM,72.891,0.000
68,06/06/17 07:14:00 PM,72.891,0.000
69,06/06/17 07:16:00 PM,72.891,0.000
70,06/06/17 07:18:00 PM,72.891,0.000
71,06/06/17 07:20:00 PM,72.891,0.000
72,06/06/17 07:22:00 PM,72.891,0.000
73,06/06/17 07:24:00 PM,72.891,0.000
74,06/06/17 07:26:00 PM,72.891,0.000
75,06/06/17 07:28:00 PM,72.718,0.000
76,06/06/17 07:30:00 PM,72.718,0.000
77,06/06/17 07:32:00 PM,72.718,0.000
78,06/06/17 07:34:00 PM,72.718,0.000
79,06/06/17 07:36:00 PM,72.718,0.000
80,06/06/17 07:38:00 PM,72.718,0.000
81,06/06/17 07:40:00 PM,72.718,0.000
82,06/06/17 07:42:00 PM,72.718,0.000
83,06/06/17 07:44:00 PM,72.718,0.000
84,06/06/17 07:46:00 PM,72.718,0.000
85,06/06/17 07:48:00 PM,72.718,0.000
86,06/06/17 07:50:00 PM,72.718,0.000
87,06/06/17 07:52:00 PM,72.545,0.000
88,06/06/17 07:54:00 PM,72.545,0.000
89,06/06/17 07:56:00 PM,72.545,0.000
90,06/06/17 07:58:00 PM,72.545,0.000
91,06/06/17 08:00:00 PM,72.545,0.000
92,06/06/17 08:02:00 PM,72.545,0.000
93,06/06/17 08:04:00 PM,72.545,0.000
94,06/06/17 08:06:00 PM,72.545,0.000
95,06/06/17 08:08:00 PM,72.545,0.000
96,06/06/17 08:10:00 PM,72.545,0.000
97,06/06/17 08:12:00 PM,72.545,0.000
98,06/06/17 08:14:00 PM,72.545,0.000
99,06/06/17 08:16:00 PM,72.545,0.000
100,06/06/17 08:18:00 PM,72.545,0.000
101,06/06/17 08:20:00 PM,72.545,0.000
102,06/06/17 08:22:00 PM,72.372,0.000
103,06/06/17 08:24:00 PM,72.372,0.000
104,06/06/17 08:26:00 PM,72.372,0.000
105,06/06/17 08:28:00 PM,72.372,0.000
106,06/06/17 08:30:00 PM,72.372,0.000
107,06/06/17 08:32:00 PM,72.372,0.000
108,06/06/17 08:34:00 PM,72.372,0.000
109,06/06/17 08:36:00 PM,72.372,0.000
110,06/06/17 08:38:00 PM,72.372,0.000
111,06/06/17 08:40:00 PM,72.372,0.000
112,06/06/17 08:42:00 PM,72.372,0.000
113,06/06/17 08:44:00 PM,72.372,0.000
114,06/06/17 08:46:00 PM,72.372,0.000
115,06/06/17 08:48:00 PM,72.372,0.000
116,06/06/17 08:50:00 PM,72.372,0.000
117,06/06/17 08:52:00 PM,72.199,0.000
118,06/06/17 08:54:00 PM,72.199,0.000
119,06/06/17 08:56:00 PM,72.199,0.000
120,06/06/17 08:58:00 PM,72.199,0.000
121,06/06/17 09:00:00 PM,72.199,0.000
122,06/06/17 09:02:00 PM,72.199,0.000
123,06/06/17 09:04:00 PM,72.199,0.000
124,06/06/17 09:06:00 PM,72.199,0.000
125,06/06/17 09:08:00 PM,72.199,0.000
126,06/06/17 09:10:00 PM,72.199,0.000
127,06/06/17 09:12:00 PM,72.199,0.000
128,06/06/17 09:14:00 PM,72.199,0.000
129,06/06/17 09:16:00 PM,72.199,0.000
130,06/06/17 09:18:00 PM,72.199,0.000
131,06/06/17 09:20:00 PM,72.199,0.000
132,06/06/17 09:22:00 PM,72.199,0.000
133,06/06/17 09:24:00 PM,72.199,0.000
134,06/06/17 09:26:00 PM,72.199,0.000
135,06/06/17 09:28:00 PM,72.199,0.000
136,06/06/17 09:30:00 PM,72.199,0.000
137,06/06/17 09:32:00 PM,72.199,0.000
138,06/06/17 09:34:00 PM,72.199,0.000
139,06/06/17 09:36:00 PM,72.199,0.000
140,06/06/17 09:38:00 PM,72.199,0.000
141,06/06/17 09:40:00 PM,72.199,0.000
142,06/06/17 09:42:00 PM,72.199,0.000
143,06/06/17 09:44:00 PM,72.199,0.000
144,06/06/17 09:46:00 PM,72.199,0.000
145,06/06/17 09:48:00 PM,72.199,0.000
146,06/06/17 09:50:00 PM,72.199,0.000
147,06/06/17 09:52:00 PM,72.028,0.000
148,06/06/17 09:54:00 PM,72.028,0.000
149,06/06/17 09:56:00 PM,72.028,0.000
150,06/06/17 09:58:00 PM,72.028,0.000
151,06/06/17 10:00:00 PM,72.028,0.000
152,06/06/17 10:02:00 PM,72.028,0.000
153,06/06/17 10:04:00 PM,72.028,0.000
154,06/06/17 10:06:00 PM,72.028,0.000
155,06/06/17 10:08:00 PM,72.028,0.000
156,06/06/17 10:10:00 PM,72.028,0.000
157,06/06/17 10:12:00 PM,72.028,0.000
158,06/06/17 10:14:00 PM,72.028,0.000
159,06/06/17 10:16:00 PM,72.028,0.000
160,06/06/17 10:18:00 PM,72.028,0.000
161,06/06/17 10:20:00 PM,72.028,0.000
162,06/06/17 10:22:00 PM,72.028,0.000
163,06/06/17 10:24:00 PM,72.028,0.000
164,06/06/17 10:26:00 PM,72.028,0.000
165,06/06/17 10:28:00 PM,72.028,0.000
166,06/06/17 10:30:00 PM,72.028,0.000
167,06/06/17 10:32:00 PM,72.028,0.000
168,06/06/17 10:34:00 PM,72.028,0.000
169,06/06/17 10:36:00 PM,72.028,0.000
170,06/06/17 10:38:00 PM,72.028,0.000
171,06/06/17 10:40:00 PM,72.028,0.000
172,06/06/17 10:42:00 PM,72.028,0.000
173,06/06/17 10:44:00 PM,72.028,0.000
174,06/06/17 10:46:00 PM,72.028,0.000
175,06/06/17 10:48:00 PM,72.028,0.000
176,06/06/17 10:50:00 PM,72.028,0.000
177,06/06/17 10:52:00 PM,71.856,0.000
178,06/06/17 10:54:00 PM,71.856,0.000
179,06/06/17 10:56:00 PM,71.856,0.000
180,06/06/17 10:58:00 PM,71.856,0.000
181,06/06/17 11:00:00 PM,71.856,0.000
182,06/06/17 11:02:00 PM,71.856,0.000
183,06/06/17 11:04:00 PM,71.856,0.000
184,06/06/17 11:06:00 PM,71.856,0.000
185,06/06/17 11:08:00 PM,71.856,0.000
186,06/06/17 11:10:00 PM,71.856,0.000
187,06/06/17 11:12:00 PM,71.856,0.000
188,06/06/17 11:14:00 PM,71.856,0.000
189,06/06/17 11:16:00 PM,71.856,0.000
190,06/06/17 11:18:00 PM,71.856,0.000
191,06/06/17 11:20:00 PM,71.683,0.000
192,06/06/17 11:22:00 PM,71.683,0.000
193,06/06/17 11:24:00 PM,71.683,0.000
194,06/06/17 11:26:00 PM,71.683,0.000
195,06/06/17 11:28:00 PM,71.683,0.000
196,06/06/17 11:30:00 PM,71.683,0.000
197,06/06/17 11:32:00 PM,71.683,0.000
198,06/06/17 11:34:00 PM,71.683,0.000
199,06/06/17 11:36:00 PM,71.683,0.000
200,06/06/17 11:38:00 PM,71.683,0.000
201,06/06/17 11:40:00 PM,71.683,0.000
202,06/06/17 11:42:00 PM,71.683,0.000
203,06/06/17 11:44:00 PM,71.683,0.000
204,06/06/17 11:46:00 PM,71.683,0.000
205,06/06/17 11:48:00 PM,71.683,0.000
206,06/06/17 11:50:00 PM,71.683,0.000
207,06/06/17 11:52:00 PM,71.683,0.000
208,06/06/17 11:54:00 PM,71.512,0.000
209,06/06/17 11:56:00 PM,71.512,0.000
210,06/06/17 11:58:00 PM,71.512,0.000
211,06/07/17 12:00:00 AM,71.512,0.000
212,06/07/17 12:02:00 AM,71.512,0.000
213,06/07/17 12:04:00 AM,71.512,0.000
214,06/07/17 12:06:00 AM,71.512,0.000
215,06/07/17 12:08:00 AM,71.512,0.000
216,06/07/17 12:10:00 AM,71.512,0.000
217,06/07/17 12:12:00 AM,71.512,0.000
218,06/07/17 12:14:00 AM,71.512,0.000
219,06/07/17 12:16:00 AM,71.339,0.000
220,06/07/17 12:18:00 AM,71.339,0.000
221,06/07/17 12:20:00 AM,71.339,0.000
222,06/07/17 12:22:00 AM,71.339,0.000
223,06/07/17 12:24:00 AM,71.339,0.000
224,06/07/17 12:26:00 AM,71.339,0.000
225,06/07/17 12:28:00 AM,71.339,0.000
226,06/07/17 12:30:00 AM,71.339,0.000
227,06/07/17 12:32:00 AM,71.339,0.000
228,06/07/17 12:34:00 AM,71.339,0.000
229,06/07/17 12:36:00 AM,71.168,0.000
230,06/07/17 12:38:00 AM,71.168,0.000
231,06/07/17 12:40:00 AM,71.168,0.000
232,06/07/17 12:42:00 AM,71.168,0.000
233,06/07/17 12:44:00 AM,71.168,0.000
234,06/07/17 12:46:00 AM,71.168,0.000
235,06/07/17 12:48:00 AM,71.168,0.000
236,06/07/17 12:50:00 AM,71.168,0.000
237,06/07/17 12:52:00 AM,71.168,0.000
238,06/07/17 12:54:00 AM,71.168,0.000
239,06/07/17 12:56:00 AM,71.168,0.000
240,06/07/17 12:58:00 AM,70.995,0.000
241,06/07/17 01:00:00 AM,70.995,0.000
242,06/07/17 01:02:00 AM,70.995,0.000
243,06/07/17 01:04:00 AM,70.995,0.000
244,06/07/17 01:06:00 AM,70.995,0.000
245,06/07/17 01:08:00 AM,70.995,0.000
246,06/07/17 01:10:00 AM,70.995,0.000
247,06/07/17 01:12:00 AM,70.995,0.000
248,06/07/17 01:14:00 AM,70.995,0.000
249,06/07/17 01:16:00 AM,70.995,0.000
250,06/07/17 01:18:00 AM,70.995,0.000
251,06/07/17 01:20:00 AM,70.995,0.000
252,06/07/17 01:22:00 AM,70.995,0.000
253,06/07/17 01:24:00 AM,70.824,0.000
254,06/07/17 01:26:00 AM,70.824,0.000
255,06/07/17 01:28:00 AM,70.824,0.000
256,06/07/17 01:30:00 AM,70.824,0.000
257,06/07/17 01:32:00 AM,70.824,0.000
258,06/07/17 01:34:00 AM,70.824,0.000
259,06/07/17 01:36:00 AM,70.824,0.000
260,06/07/17 01:38:00 AM,70.824,0.000
261,06/07/17 01:40:00 AM,70.824,0.000
262,06/07/17 01:42:00 AM,70.824,0.000
