"Plot Title: RSC_INLET2"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10445237, SEN S/N: 10445237)","Sensor Depth, feet (LGR S/N: 10445237)"
1,10/02/17 02:54:00 PM,81.797,
2,10/02/17 02:56:00 PM,81.621,-0.014
3,10/02/17 02:58:00 PM,81.266,-0.021
4,10/02/17 03:00:00 PM,80.911,-0.024
5,10/02/17 03:02:00 PM,80.559,-0.023
6,10/02/17 03:04:00 PM,80.382,-0.018
7,10/02/17 03:06:00 PM,80.029,-0.026
8,10/02/17 03:08:00 PM,79.853,-0.024
9,10/02/17 03:10:00 PM,79.678,-0.024
10,10/02/17 03:12:00 PM,79.326,-0.018
11,10/02/17 03:14:00 PM,79.326,-0.025
12,10/02/17 03:16:00 PM,79.151,-0.016
13,10/02/17 03:18:00 PM,78.975,-0.022
14,10/02/17 03:20:00 PM,78.800,-0.027
15,10/02/17 03:22:00 PM,78.624,-0.028
16,10/02/17 03:24:00 PM,78.449,-0.026
17,10/02/17 03:26:00 PM,78.449,-0.027
18,10/02/17 03:28:00 PM,78.274,-0.025
19,10/02/17 03:30:00 PM,78.274,-0.025
20,10/02/17 03:32:00 PM,78.098,-0.019
21,10/02/17 03:34:00 PM,78.098,-0.022
22,10/02/17 03:36:00 PM,78.098,-0.017
23,10/02/17 03:38:00 PM,78.274,-0.020
24,10/02/17 03:40:00 PM,78.274,-0.026
25,10/02/17 03:42:00 PM,78.098,-0.025
26,10/02/17 03:44:00 PM,78.098,-0.025
27,10/02/17 03:46:00 PM,78.098,-0.025
28,10/02/17 03:48:00 PM,78.098,-0.028
29,10/02/17 03:50:00 PM,78.098,-0.019
30,10/02/17 03:52:00 PM,78.098,-0.021
31,10/02/17 03:54:00 PM,78.098,-0.021
32,10/02/17 03:56:00 PM,78.098,-0.025
33,10/02/17 03:58:00 PM,78.098,-0.023
34,10/02/17 04:00:00 PM,78.098,-0.021
35,10/02/17 04:02:00 PM,78.098,-0.021
36,10/02/17 04:04:00 PM,78.098,-0.027
37,10/02/17 04:06:00 PM,78.098,-0.021
38,10/02/17 04:08:00 PM,78.098,-0.021
39,10/02/17 04:10:00 PM,78.098,-0.023
40,10/02/17 04:12:00 PM,77.923,-0.018
41,10/02/17 04:14:00 PM,77.923,-0.026
42,10/02/17 04:16:00 PM,77.923,-0.023
43,10/02/17 04:18:00 PM,77.923,-0.023
44,10/02/17 04:20:00 PM,77.923,-0.019
45,10/02/17 04:22:00 PM,77.923,-0.017
46,10/02/17 04:24:00 PM,77.923,-0.013
47,10/02/17 04:26:00 PM,77.749,-0.018
48,10/02/17 04:28:00 PM,77.749,-0.018
49,10/02/17 04:30:00 PM,77.749,-0.022
50,10/02/17 04:32:00 PM,77.749,-0.020
51,10/02/17 04:34:00 PM,77.749,-0.022
52,10/02/17 04:36:00 PM,77.574,-0.022
53,10/02/17 04:38:00 PM,77.574,-0.018
54,10/02/17 04:40:00 PM,77.400,-0.023
55,10/02/17 04:42:00 PM,77.400,-0.019
56,10/02/17 04:44:00 PM,77.400,-0.019
57,10/02/17 04:46:00 PM,77.400,-0.019
58,10/02/17 04:48:00 PM,77.225,-0.019
59,10/02/17 04:50:00 PM,77.225,-0.015
60,10/02/17 04:52:00 PM,77.050,-0.022
61,10/02/17 04:54:00 PM,77.050,-0.023
62,10/02/17 04:56:00 PM,76.876,-0.028
63,10/02/17 04:58:00 PM,76.876,-0.023
64,10/02/17 05:00:00 PM,76.876,-0.019
65,10/02/17 05:02:00 PM,76.876,-0.019
66,10/02/17 05:04:00 PM,76.876,-0.016
67,10/02/17 05:06:00 PM,76.703,-0.028
68,10/02/17 05:08:00 PM,76.703,-0.028
69,10/02/17 05:10:00 PM,76.528,-0.020
70,10/02/17 05:12:00 PM,76.528,-0.020
71,10/02/17 05:14:00 PM,76.354,-0.020
72,10/02/17 05:16:00 PM,76.354,-0.020
73,10/02/17 05:18:00 PM,76.181,-0.027
74,10/02/17 05:20:00 PM,76.181,-0.025
75,10/02/17 05:22:00 PM,76.181,-0.018
76,10/02/17 05:24:00 PM,76.006,-0.016
77,10/02/17 05:26:00 PM,76.006,-0.026
78,10/02/17 05:28:00 PM,76.006,-0.018
79,10/02/17 05:30:00 PM,76.006,-0.016
80,10/02/17 05:32:00 PM,76.006,-0.025
81,10/02/17 05:34:00 PM,76.006,-0.021
82,10/02/17 05:36:00 PM,75.832,-0.026
83,10/02/17 05:38:00 PM,75.832,-0.019
84,10/02/17 05:40:00 PM,75.832,-0.021
85,10/02/17 05:42:00 PM,75.659,-0.015
86,10/02/17 05:44:00 PM,75.659,-0.024
87,10/02/17 05:46:00 PM,75.659,-0.015
88,10/02/17 05:48:00 PM,75.659,-0.019
89,10/02/17 05:50:00 PM,75.659,-0.020
90,10/02/17 05:52:00 PM,75.659,-0.017
91,10/02/17 05:54:00 PM,75.659,-0.019
92,10/02/17 05:56:00 PM,75.484,-0.016
93,10/02/17 05:58:00 PM,75.484,-0.021
94,10/02/17 06:00:00 PM,75.484,-0.020
95,10/02/17 06:02:00 PM,75.312,-0.016
96,10/02/17 06:04:00 PM,75.312,-0.021
97,10/02/17 06:06:00 PM,75.312,-0.020
98,10/02/17 06:08:00 PM,75.312,-0.016
99,10/02/17 06:10:00 PM,75.312,-0.015
100,10/02/17 06:12:00 PM,75.312,-0.011
101,10/02/17 06:14:00 PM,75.139,-0.016
102,10/02/17 06:16:00 PM,75.139,-0.018
103,10/02/17 06:18:00 PM,75.139,-0.015
104,10/02/17 06:20:00 PM,75.139,-0.015
105,10/02/17 06:22:00 PM,74.964,-0.016
106,10/02/17 06:24:00 PM,74.964,-0.016
107,10/02/17 06:26:00 PM,74.964,-0.021
108,10/02/17 06:28:00 PM,74.964,-0.013
109,10/02/17 06:30:00 PM,74.791,-0.011
110,10/02/17 06:32:00 PM,74.791,-0.011
111,10/02/17 06:34:00 PM,74.791,-0.013
112,10/02/17 06:36:00 PM,74.619,-0.016
113,10/02/17 06:38:00 PM,74.619,-0.015
114,10/02/17 06:40:00 PM,74.619,-0.011
115,10/02/17 06:42:00 PM,74.619,-0.018
116,10/02/17 06:44:00 PM,74.446,-0.020
117,10/02/17 06:46:00 PM,74.446,-0.018
118,10/02/17 06:48:00 PM,74.271,-0.018
119,10/02/17 06:50:00 PM,74.271,-0.018
120,10/02/17 06:52:00 PM,74.271,-0.024
121,10/02/17 06:54:00 PM,74.271,-0.015
122,10/02/17 06:56:00 PM,74.098,-0.010
123,10/02/17 06:58:00 PM,73.926,-0.018
124,10/02/17 07:00:00 PM,73.926,-0.019
125,10/02/17 07:02:00 PM,73.753,-0.016
126,10/02/17 07:04:00 PM,73.753,-0.014
127,10/02/17 07:06:00 PM,73.753,-0.008
