"Plot Title: RSC_well"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10180301, SEN S/N: 10180301)","Sensor Depth, feet (LGR S/N: 10180301)"
1,01/31/18 03:58:00 PM,50.819,3.361
2,01/31/18 04:00:00 PM,50.290,3.368
3,01/31/18 04:02:00 PM,50.113,3.370
4,01/31/18 04:04:00 PM,49.937,3.363
5,01/31/18 04:06:00 PM,49.759,3.360
6,01/31/18 04:08:00 PM,49.759,3.363
7,01/31/18 04:10:00 PM,49.759,3.362
8,01/31/18 04:12:00 PM,49.759,3.361
9,01/31/18 04:14:00 PM,49.759,3.364
10,01/31/18 04:16:00 PM,49.759,3.358
11,01/31/18 04:18:00 PM,49.759,3.366
12,01/31/18 04:20:00 PM,49.759,3.368
13,01/31/18 04:22:00 PM,49.759,3.364
14,01/31/18 04:24:00 PM,49.759,3.371
15,01/31/18 04:26:00 PM,49.759,3.366
16,01/31/18 04:28:00 PM,49.759,3.363
17,01/31/18 04:30:00 PM,49.759,3.368
18,01/31/18 04:32:00 PM,49.759,3.359
19,01/31/18 04:34:00 PM,49.759,3.364
20,01/31/18 04:36:00 PM,49.759,3.364
21,01/31/18 04:38:00 PM,49.759,3.370
22,01/31/18 04:40:00 PM,49.759,3.358
23,01/31/18 04:42:00 PM,49.759,3.360
24,01/31/18 04:44:00 PM,49.759,3.366
25,01/31/18 04:46:00 PM,49.759,3.372
26,01/31/18 04:48:00 PM,49.759,3.368
27,01/31/18 04:50:00 PM,49.759,3.362
28,01/31/18 04:52:00 PM,49.759,3.368
29,01/31/18 04:54:00 PM,49.759,3.358
30,01/31/18 04:56:00 PM,49.759,3.359
31,01/31/18 04:58:00 PM,49.759,3.354
32,01/31/18 05:00:00 PM,49.759,3.366
33,01/31/18 05:02:00 PM,49.759,3.366
34,01/31/18 05:04:00 PM,49.759,3.362
35,01/31/18 05:06:00 PM,49.759,3.368
36,01/31/18 05:08:00 PM,49.759,3.368
37,01/31/18 05:10:00 PM,49.759,3.358
38,01/31/18 05:12:00 PM,49.759,3.367
39,01/31/18 05:14:00 PM,49.759,3.366
40,01/31/18 05:16:00 PM,49.759,3.362
41,01/31/18 05:18:00 PM,49.759,3.367
42,01/31/18 05:20:00 PM,49.759,3.367
43,01/31/18 05:22:00 PM,49.759,3.358
44,01/31/18 05:24:00 PM,49.759,3.359
45,01/31/18 05:26:00 PM,49.759,3.366
46,01/31/18 05:28:00 PM,49.759,3.356
47,01/31/18 05:30:00 PM,49.759,3.361
48,01/31/18 05:32:00 PM,49.759,3.362
49,01/31/18 05:34:00 PM,49.759,3.357
50,01/31/18 05:36:00 PM,49.759,3.359
51,01/31/18 05:38:00 PM,49.759,3.359
52,01/31/18 05:40:00 PM,49.759,3.360
53,01/31/18 05:42:00 PM,49.759,3.360
54,01/31/18 05:44:00 PM,49.759,3.355
55,01/31/18 05:46:00 PM,49.759,3.367
56,01/31/18 05:48:00 PM,49.759,3.356
57,01/31/18 05:50:00 PM,49.759,3.358
58,01/31/18 05:52:00 PM,49.759,3.359
59,01/31/18 05:54:00 PM,49.759,3.361
60,01/31/18 05:56:00 PM,49.759,3.368
61,01/31/18 05:58:00 PM,49.759,3.357
62,01/31/18 06:00:00 PM,49.759,3.359
63,01/31/18 06:02:00 PM,49.759,3.359
64,01/31/18 06:04:00 PM,49.759,3.360
65,01/31/18 06:06:00 PM,49.759,3.367
66,01/31/18 06:08:00 PM,49.759,3.363
67,01/31/18 06:10:00 PM,49.759,3.358
68,01/31/18 06:12:00 PM,49.759,3.360
69,01/31/18 06:14:00 PM,49.759,3.362
70,01/31/18 06:16:00 PM,49.759,3.358
71,01/31/18 06:18:00 PM,49.759,3.360
