sam.date,site,event,TKN,TKN.qc,NOx,NOx.qc,NH3N,NH3N.qc,TP,TP.qc,OP,OP.qc,TSS,TSS.qc,
12/6/2017,IN1,storm,4871.96,,273.67,,209.66,,1101.52,,110.77,,427.41,,
12/6/2017,OUT,storm,1107.03,,420.56,,252.76,,230.43,,137.43,,32.52,,
3/4/2018,IN1,storm,1833.66,,652.76,,127.84,,327.68,,84.95,,81.11,,
3/4/2018,IN2,storm,2184.52,,349.82,,239.83,,205.53,,61.65,,51.73,,
3/4/2018,OUT,storm,1451.32,,566.58,,92.17,,184.66,,70.45,,31.66,,
3/9/2018,IN1,storm,1804.01,,687.30,,146.73,,272.24,,72.64,Q,77.23,,
3/9/2018,IN2,storm,1870.63,,390.54,,319.79,,221.53,,48.31,Q,80.04,,
3/9/2018,OUT,storm,1152.59,,0.00,,126.79,,143.38,,62.10,Q,18.01,,
3/15/2018,IN1,storm,1685.38,J2,632.82,,371.00,,251.18,,87.24,,56.88,,
3/15/2018,IN2,storm,1054.88,J2,300.24,,206.91,,180.49,,50.36,,56.65,,
3/15/2018,OUT,storm,1161.65,J2,572.04,,287.95,,154.64,,66.92,,21.41,,
4/5/2018,IN1,base,476.13,,140.35,,46.73,,72.79,,46.69,,4.92,,
4/5/2018,OUT,base,437.67,,80.03,,32.93,,50.32,,25.11,,3.54,,
4/9/2018,IN1,storm,6054.20,,858.04,,322.88,,931.00,,78.42,,469.62,,
4/9/2018,IN2,storm,1146.61,,388.66,,62.38,,246.31,,50.65,,42.41,,
4/9/2018,OUT,storm,1685.69,,695.96,,84.38,,213.46,,40.23,,44.10,,
4/19/2018,IN1,base,759.50,,668.66,,37.82,,137.28,,86.07,,8.03,,
4/19/2018,OUT,base,635.75,,532.88,,48.62,,102.96,,62.39,,4.88,,
4/25/2018,IN1,storm,1942.59,,734.60,,129.77,,337.53,,81.48,,107.85,,
4/25/2018,IN2,storm,1011.40,,551.46,,129.65,,179.24,,67.03,,27.97,,
4/25/2018,OUT,storm,1301.21,,628.84,,111.16,,219.21,,67.72,,45.81,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
