sam.date,site,event,TKN,TKN.qc,NOx,NOx.qc,NH3N,NH3N.qc,TP,TP.qc,OP,OP.qc,TSS,TSS.est,TSS.qc
12/6/2017,IN1,storm,4871.96,,273.67,,209.66,,1101.52,,110.77,,427.41,,
12/6/2017,OUT,storm,1107.03,,420.56,,252.76,,230.43,,137.43,,32.52,,
3/4/2018,IN1,storm,1833.66,,652.76,,127.84,,327.68,,84.95,,81.11,,
3/4/2018,IN2,storm,2184.52,,349.82,,239.83,,205.53,,61.65,,51.73,,
3/4/2018,OUT,storm,1451.32,,566.58,,92.17,,184.66,,70.45,,31.66,,
3/9/2018,IN1,storm,1804.01,,687.3,,146.73,,272.24,,72.64,Q,77.23,,
3/9/2018,IN2,storm,1870.63,,390.54,,319.79,,221.53,,48.31,Q,80.04,,
3/9/2018,OUT,storm,1152.59,,0,,126.79,,143.38,,62.1,Q,18.01,,
3/15/2018,IN1,storm,1685.38,J2,632.82,,371,,251.18,,87.24,,56.88,,
3/15/2018,IN2,storm,1054.88,J2,300.24,,206.91,,180.49,,50.36,,56.65,,
3/15/2018,OUT,storm,1161.65,J2,572.04,,287.95,,154.64,,66.92,,21.41,,
4/5/2018,IN1,base,476.13,,140.35,,46.73,,72.79,,46.69,,4.92,,
4/5/2018,OUT,base,437.67,,80.03,,32.93,,50.32,,25.11,,3.54,,
4/9/2018,IN1,storm,6054.2,,858.04,,322.88,,931,,78.42,,469.62,,
4/9/2018,IN2,storm,1146.61,,388.66,,62.38,,246.31,,50.65,,42.41,,
4/9/2018,OUT,storm,1685.69,,695.96,,84.38,,213.46,,40.23,,44.1,,
4/19/2018,IN1,base,759.5,,668.66,,37.82,,137.28,,86.07,,8.03,,
4/19/2018,OUT,base,635.75,,532.88,,48.62,,102.96,,62.39,,4.88,,
4/25/2018,IN1,storm,1942.59,,734.6,,129.77,,337.53,,81.48,,107.85,,
4/25/2018,IN2,storm,1011.4,,551.46,,129.65,,179.24,,67.03,,27.97,,
4/25/2018,OUT,storm,1301.21,,628.84,,111.16,,219.21,,67.72,,45.81,,
5/8/2018,IN1,base,778.13,,144.94,,116.84,,149.77,,90.71,,9.79,,
5/8/2018,OUT,base,520.22,,175.06,,43.64,,99.69,,62.83,,2.48,2.82,"L,U"
5/17/2018,IN1,storm,6249.52,,551.7,,592.8,,1219.68,,147.81,,606.67,,
5/17/2018,IN2,storm,1367.9,,648.48,,262.04,,223.42,,66.13,,80.41,,
5/17/2018,OUT,storm,2413.06,,551.76,,367.82,,349.24,,78.16,,74.5,,
5/18/2018,IN1,storm,4045.42,,741.88,,444.56,,745.08,,81.35,,312.05,,
5/18/2018,IN2,storm,1086.77,,572.32,,78.82,,198.67,,74.61,,48.98,,
5/18/2018,OUT,storm,1450.26,,605.9,,178.27,,210.65,,72.26,,24.02,,
5/21/2018,IN1,storm,4295.42,,620.76,,413.04,,892.88,,144.64,,345.18,,
5/21/2018,IN2,storm,1046.38,,213.71,,147.82,,180.82,,94.88,,30.37,,
5/21/2018,OUT,storm,1248.43,,447.44,,101.89,,191.26,,97.94,,18.42,,
5/21/2018,IN1,base,869.75,,1432.64,,99.23,,187.16,,136.9,,7.65,,
5/21/2018,OUT,base,766.64,,751,,70.25,,179.01,,142.41,,2.57,2.77,"L,U"
6/13/2018,IN1,base,646.05,,394.13,,93.15,,139.97,,105.81,,3.23,,
6/13/2018,OUT,base,443.46,,113.58,,46.8,,138.91,,110.13,,1.36,2.78,"L,U"
6/18/2018,IN1,base,699.01,,93.53,,129.68,,145.37,,108.07,,1.82,2.98,"L,U"
6/18/2018,OUT,base,581.96,,48.09,,150.49,,160.86,,106.79,,2.15,2.77,"L,U"
6/20/2018,IN1,base,574.57,,73.03,,98.86,,171.69,,97.36,,1.93,2.99,"L,U"
6/20/2018,OUT,base,453.12,,37.95,,146.77,,163.77,,111.94,,1.79,2.79,"L,U"
6/27/2018,IN1,storm,21733.8,,9.92,U,729.82,,5518,,71.45,,4153.33,,
6/27/2018,IN2,storm,959.05,,737.72,,264.8,,183.21,,85.9,,45.56,,
6/27/2018,OUT,storm,1683.43,,630.08,,60.49,,573.38,,69.83,,120.67,,
6/28/2018,IN1,base,564.87,,322.06,,60.33,,121.12,,89.94,,2.03,2.97,"L,U"
6/28/2018,OUT,base,509.91,,207.11,,42.04,,123.81,,102.34,,1.78,2.78,"L,U"
7/2/2018,IN1,base,873.52,,93.2,,85.28,,130.18,,84.6,,2.5,2.91,"L,U"
7/2/2018,OUT,base,537.77,,51.22,,86.58,,189.43,,155.23,,1.55,2.95,"L,U"
7/5/2018,IN1,base,462.98,,55.59,,51.73,,90.29,,68.57,,1.28,3.41,"L,U"
7/5/2018,OUT,base,568.01,,110.78,,83.65,,172.35,,122.75,,4.11,,
7/6/2018,IN1,storm,10824.4,,403.5,,312.1,,2237.3,,138.72,,1795.71,,
7/6/2018,IN2,storm,874.37,,428.68,,159.01,,343.63,,132.17,,125.71,,
7/6/2018,OUT,storm,1050.46,,456.98,,74.35,,300.74,,150.77,,53.69,,
