STATE CLIMATE OFFICE OF NORTH CAROLINA,,
NC STATE UNIVERSITY,,
CRONOS Database,,
Station ID: KRDU     Station type: ASOS      Station name: Raleigh-Durham Airport,,
"City, State: Raleigh, NC      County: Wake County",,
Latitude: 35.8776389     Longitude: -78.7874722,,
Elevation: 435 feet above sea level,,
Climate division: NC04 - CENTRAL PIEDMONT,,
Supported by: NOAA National Weather Service,,
Data retrieval from KRDU - Raleigh-Durham Airport for 2017-07-01   thru   2018-07-10 (375 days),,
375 records for this period of record (100% data available),,
,,
,,
Date/Time (EST),Number of Records Compiled, Open Water Evaporation (Penman-Monteith) (in)
7/1/2017,24 (100%),0.261
7/2/2017,24 (100%),0.271
7/3/2017,24 (100%),0.275
7/4/2017,24 (100%),0.269
7/5/2017,24 (100%),0.248
7/6/2017,24 (100%),0.296
7/7/2017,24 (100%),0.273
7/8/2017,24 (100%),0.3
7/9/2017,24 (100%),0.247
7/10/2017,24 (100%),0.26
7/11/2017,24 (100%),0.302
7/12/2017,24 (100%),0.282
7/13/2017,24 (100%),0.292
7/14/2017,24 (100%),0.3
7/15/2017,24 (100%),0.269
7/16/2017,24 (100%),0.254
7/17/2017,24 (100%),0.252
7/18/2017,24 (100%),0.247
7/19/2017,24 (100%),0.281
7/20/2017,24 (100%),0.304
7/21/2017,24 (100%),0.298
7/22/2017,24 (100%),0.34
7/23/2017,24 (100%),0.355
7/24/2017,24 (100%),0.28
7/25/2017,24 (100%),0.242
7/26/2017,24 (100%),0.249
7/27/2017,24 (100%),0.309
7/28/2017,24 (100%),0.267
7/29/2017,24 (100%),0.201
7/30/2017,24 (100%),0.247
7/31/2017,24 (100%),0.267
8/1/2017,24 (100%),0.257
8/2/2017,24 (100%),0.257
8/3/2017,24 (100%),0.271
8/4/2017,24 (100%),0.297
8/5/2017,24 (100%),0.269
8/6/2017,24 (100%),0.276
8/7/2017,24 (100%),0.266
8/8/2017,24 (100%),0.166
8/9/2017,24 (100%),0.242
8/10/2017,24 (100%),0.247
8/11/2017,24 (100%),0.217
8/12/2017,24 (100%),0.24
8/13/2017,24 (100%),0.158
8/14/2017,24 (100%),0.205
8/15/2017,24 (100%),0.209
8/16/2017,24 (100%),0.227
8/17/2017,24 (100%),0.239
8/18/2017,24 (100%),0.277
8/19/2017,24 (100%),0.222
8/20/2017,24 (100%),0.249
8/21/2017,24 (100%),0.236
8/22/2017,24 (100%),0.264
8/23/2017,24 (100%),0.234
8/24/2017,24 (100%),0.186
8/25/2017,24 (100%),0.202
8/26/2017,24 (100%),0.197
8/27/2017,24 (100%),0.211
8/28/2017,24 (100%),0.198
8/29/2017,24 (100%),0.121
8/30/2017,24 (100%),0.206
8/31/2017,24 (100%),0.21
9/1/2017,24 (100%),0.166
9/2/2017,24 (100%),0.204
9/3/2017,24 (100%),0.195
9/4/2017,24 (100%),0.218
9/5/2017,24 (100%),0.239
9/6/2017,24 (100%),0.191
9/7/2017,24 (100%),0.172
9/8/2017,24 (100%),0.178
9/9/2017,24 (100%),0.188
9/10/2017,24 (100%),0.174
9/11/2017,24 (100%),0.129
9/12/2017,24 (100%),0.165
9/13/2017,24 (100%),0.197
9/14/2017,24 (100%),0.181
9/15/2017,24 (100%),0.176
9/16/2017,24 (100%),0.184
9/17/2017,24 (100%),0.187
9/18/2017,24 (100%),0.175
9/19/2017,24 (100%),0.177
9/20/2017,24 (100%),0.202
9/21/2017,24 (100%),0.174
9/22/2017,24 (100%),0.185
9/23/2017,24 (100%),0.186
9/24/2017,24 (100%),0.186
9/25/2017,24 (100%),0.169
9/26/2017,24 (100%),0.162
9/27/2017,21 (88%),0.185
9/28/2017,24 (100%),0.193
9/29/2017,24 (100%),0.123
9/30/2017,18 (75%),0.17
10/1/2017,24 (100%),0.147
10/2/2017,24 (100%),0.153
10/3/2017,24 (100%),0.159
10/4/2017,24 (100%),0.153
10/5/2017,24 (100%),0.161
10/6/2017,24 (100%),0.159
10/7/2017,24 (100%),0.168
10/8/2017,24 (100%),0.122
10/9/2017,24 (100%),0.184
10/10/2017,24 (100%),0.143
10/11/2017,24 (100%),0.151
10/12/2017,24 (100%),0.111
10/13/2017,24 (100%),0.091
10/14/2017,24 (100%),0.114
10/15/2017,24 (100%),0.15
10/16/2017,24 (100%),0.105
10/17/2017,24 (100%),0.105
10/18/2017,24 (100%),0.104
10/19/2017,24 (100%),0.115
10/20/2017,24 (100%),0.12
10/21/2017,24 (100%),0.116
10/22/2017,24 (100%),0.118
10/23/2017,24 (100%),0.12
10/24/2017,22 (92%),0.106
10/25/2017,24 (100%),0.094
10/26/2017,24 (100%),0.088
10/27/2017,24 (100%),0.123
10/28/2017,24 (100%),0.107
10/29/2017,24 (100%),0.102
10/30/2017,24 (100%),0.092
10/31/2017,24 (100%),0.084
11/1/2017,24 (100%),0.099
11/2/2017,24 (100%),0.094
11/3/2017,24 (100%),0.102
11/4/2017,24 (100%),0.066
11/5/2017,24 (100%),0.079
11/6/2017,24 (100%),0.095
11/7/2017,24 (100%),0.069
11/8/2017,24 (100%),0.031
11/9/2017,25 (104%),0.039
11/10/2017,24 (100%),0.074
11/11/2017,24 (100%),0.056
11/12/2017,24 (100%),0.048
