"","event","start","end","Duration","Accumulation","max.intensity5","runoff.est.in1","in1.vol","dryout.vol","runoff.est.in2","in2.vol","in2.hobo.vol","runoff.est.runon","out.vol","out.vol.roll","in.sum","flow.vol.perc_diff.roll","flow.vol.perc_diff"
"1",3,2017-07-23 17:32:00,2017-07-24 12:24:00,18.8666666666667,20.828,28.956,145884.610320651,0,0,250832.79837913,0,249950330.630369,16085.0260666992,200803758.418715,200400174.876399,249966415.656436,19.8291601093176,19.667705002936
"2",6,2017-08-07 20:38:00,2017-08-09 08:00:00,35.3666666666667,19.558,39.624,136779.598734489,0,0,235117.141903397,0,463997973.820839,15083.0006093883,286276200.971635,285884169.146642,464013056.821448,38.3887662332205,38.3042789932108
"3",7,2017-08-11 18:40:00,2017-08-13 02:20:00,31.6666666666667,31.75,76.2,224199.787171423,0,0,386015.781872335,0,723454630.242193,24703.5686842378,586406596.35525,585154434.31331,723479333.810877,19.1193988595294,18.9463238339658
"4",8,2017-08-13 03:38:00,2017-08-13 16:22:00,12.7333333333333,12.7,38.1,87624.9827460936,0,0,150281.726921067,0,169306406.517924,9673.22262629307,132256850.930476,132369481.148238,169316079.74055,21.8210808146082,21.8876015006144
"5",9,2017-08-14 23:24:00,2017-08-15 15:24:00,16,5.08,21.336,33105.0762744698,0,0,56243.8882822848,0,182696119.4311,3671.3660174417,76302212.2634142,76248631.1779721,182699790.797117,58.2656165914037,58.2362891985215
"6",11,2017-08-23 15:04:00,2017-08-24 05:42:00,14.6333333333333,5.588,24.384,36729.1354414597,0,0,62488.6189173309,0,0,4070.49529608397,42821460.1729555,42889048.1430395,4070.49529608397,-1053556.74256646,-1051896.30654658
"7",13,2017-08-31 19:12:00,2017-09-02 14:40:00,43.4666666666667,38.354,115.824,271558.546823937,637942.525702887,0,467767.010622672,0,0,29915.2823038575,790620768.446767,788264113.471437,667857.808006744,-117928.733664738,-118281.601437949
"8",15,2017-09-06 15:06:00,2017-09-07 05:48:00,14.7,11.43,30.48,78526.4228960718,0,0,134581.149590959,0,0,8671.79859054316,43747103.7240388,43512743.9877956,8671.79859054316,-501673.000531257,-504375.551032127
"9",16,2017-09-11 18:00:00,2017-09-13 10:40:00,40.6666666666667,10.414,10.668,71249.3020950871,0,0,122024.7115925,0,0,7870.82060431127,70704455.1950522,70701566.9732567,7870.82060431127,-898174.40527014,-898211.100577284
"10",23,2017-10-11 18:24:00,2017-10-12 13:40:00,19.2666666666667,27.686,83.82,195057.461809699,234035423.131374,0,335710.922954996,0,232508713.270819,21496.5022139,202896884.052533,202852164.283776,466565632.904407,56.5222661126998,56.5126812299731
"11",24,2017-10-16 09:06:00,2017-10-17 00:06:00,15,6.858,7.62,45801.2938128047,34434819.6465504,0,78128.0589154774,0,214146339.956187,5069.44709696413,29234879.6282412,29155893.3923167,248586229.049834,88.2713159519099,88.2395417718893
"12",26,2017-10-28 22:56:00,2017-10-29 13:14:00,14.3,10.16,21.336,69430.3198454579,157997472.785959,0,118886.295557169,0,276109547.149343,7670.60393887768,-135551512.635109,-135066167.18886,434114690.539241,131.113014632397,131.224815835357
"13",30,2017-11-08 10:26:00,2017-11-10 01:46:00,39.3333333333333,9.652,6.096,65792.7765688756,15127016.9165516,0,112610.443030011,0,1314215288.28512,7270.20997000987,0,0,1329349575.41164,100,100
"14",32,2017-11-12 23:32:00,2017-11-14 00:34:00,25.0333333333333,15.24,27.432,105827.068199165,250134613.56872,0,181694.469822404,0,156464876.496678,11676.5339434564,4428188.79561895,2832083.10054622,406611166.599342,99.303491066359,98.9109524874455
"15",35,2017-12-05 23:46:00,2017-12-07 10:06:00,34.3333333333333,6.35,12.192,42170.7629419258,55475601.9166288,0,71868.4415820135,0,58983612.3805038,4669.70983206739,41865996.738541,41932406.823052,114463884.006965,63.3662554902465,63.4242738644151
"16",36,2017-12-08 06:20:00,2017-12-10 07:24:00,49.0666666666667,39.878,7.62,282487.795301327,1433158875.5573,0,486633.393837337,0,3606699097.90116,31118.0136902122,1032850248.24195,1032875091.11422,5039889091.47215,79.5059956207783,79.5064885457578
"17",39,2017-12-20 07:38:00,2017-12-21 13:16:00,29.6333333333333,11.684,6.096,80345.9632529987,202091243.851884,0,137720.865001123,0,1076441586.69968,8872.06737995801,131849002.336719,131954857.67064,1278541702.61894,89.679268388325,89.6875477689432
"18",42,2018-01-12 20:54:00,2018-01-13 10:28:00,13.5666666666667,15.748,62.484,109468.06643644,137377301.333965,0,187978.376320058,0,97679661.309791,12077.2503873032,90466612.875806,89901996.6862285,235069039.894143,61.7550670531885,61.514875409988
"19",44,2018-01-18 14:12:00,2018-01-19 09:50:00,19.6333333333333,8.89,6.096,60337.6887632404,3879743.22644304,0,103199.515400484,0,49812669.5443287,6669.7337344082,42256944.593623,42468875.3158616,53699082.5045062,20.9132198631181,21.3078834446064
"20",45,2018-01-19 12:08:00,2018-01-20 05:06:00,16.9666666666667,5.842,4.572,38542.3639427757,4121635.77200357,0,65613.7371683962,0,103080894.584784,4270.17266622378,55715479.0811635,55720327.7420797,107206800.529454,48.0253794844189,48.0299022020937
"21",46,2018-01-23 04:06:00,2018-01-23 21:32:00,17.4333333333333,22.098,56.388,154990.040379955,282413539.568494,0,266549.436016007,0,198574271.583373,17087.0904736725,223739781.950794,223674532.482702,481004898.242341,53.4984917409281,53.4849265010876
